ID SUBGRUPO DE ITENS	ID ITEM	DESCRIÇÃO ITEM	UDM Preço	UDM estoque
arrozConcorrente	conc_66	ARROZ BRANCO PANTERA T1 5KG	0	Uni
arrozConcorrente	conc_374	ARROZ ARBORIO CAMIL CULINARIA ITALIANA 1KG	0	UNI
	conc_375	FEIJAO BRANCO COMBRASIL T1 500G	0	UNI
feijaoConcorrente	conc_196	FEIJAO CARIOCA BIGUA T1 1KG	0	uni
arrozConcorrente	conc_70	ARROZ PARBOILIZADO CAMIL T1 5KG	0	Uni
arrozConcorrente	conc_74	ARROZ INTEGRAL CAMIL T1 1KG	0	Uni
3	conc_71	ARROZ JAPONES MOMIJI T1 5KG	0	Uni
arrozConcorrente	conc_72	ARROZ BRANCO PANTERA T1 1KG	0	Uni
arrozConcorrente	conc_75	ARROZ INTEGRAL PANTERA T1 1KG	0	Uni
arrozConcorrente	conc_76	ARROZ INTEGRAL BLUE VILLE T1 1KG	0	Uni
arrozConcorrente	conc_77	ARROZ PARBOILIZADO CAMIL T1 1KG	0	Uni
arrozConcorrente	conc_67	ARROZ BRANCO SERRAZUL T1 5KG	0	Uni
3	conc_78	ARROZ JAPONES KANGAI T1 1KG	0	Uni
arrozConcorrente	conc_73	ARROZ INTEGRAL PRATO FINO T1 1KG	0	Uni
arrozConcorrente	conc_68	ARROZ BRANCO CAMPEIRO T1 5KG	0	Uni
arrozConcorrente	conc_79	ARROZ JAPONES MOMIJI T1 1KG	0	Uni
arrozConcorrente	conc_69	ARROZ BRANCO DONA MILU T1 5KG	0	Uni
feijaoConcorrente	conc_80	FEIJAO CARIOCA CALDO NOBRE T1 1KG	0	Uni
feijaoConcorrente	conc_81	FEIJAO CARIOCA TIO PEDRO T1 1KG	0	Uni
feijaoConcorrente	conc_84	FEIJAO FRADINHO BOM TEMPO T1 1KG	0	Uni
feijaoConcorrente	conc_82	FEIJAO FRADINHO KICALDO T1 1KG	0	Uni
feijaoConcorrente	CONC_83	FEIJAO FRADINHO PANTERA T1 1KG	0	Uni
feijaoConcorrente	conc_85	FEIJAO FRADINHO CAMIL T1 1KG	0	Uni
feijaoConcorrente	conc_86	FEIJAO VERMELHO KICALDO T1 1KG	0	Uni
